,Gender,Age,Socioeconomic Status,Employment Status,Age Category
0,Female,26.770887370239464,Very Disadvantaged,Unemployed,25-34
1,Male,46.26478430454454,Affluent,Employed,45-54
2,Female,37.96173312459237,Average,Employed,35-44
3,Male,55.170201645794755,Affluent,Employed,55-64
4,Male,54.825337693260785,Affluent,Employed,55-64
5,Female,30.651820894851667,Disadvantaged,Employed,25-34
6,Female,30.829851491938125,Disadvantaged,Employed,25-34
7,Male,56.26291089789143,Very Affluent,Employed,55-64
8,Male,73.08305930560032,Very Affluent,Not in Labour Force,65-74
9,Male,62.087042968358716,Very Affluent,Employed,55-64
10,Female,34.47487986178913,Disadvantaged,Employed,35-44
11,Female,40.72932421275882,Average,Employed,35-44
12,Male,49.321946149520045,Affluent,Employed,45-54
13,Male,50.87832177789825,Affluent,Employed,45-54
14,Female,35.02057369105141,Disadvantaged,Employed,35-44
15,Male,43.42277132830632,Average,Employed,35-44
16,Female,40.82146423208518,Average,Employed,35-44
17,Female,16.088218146036805,Very Disadvantaged,Not in Labour Force,15-24
18,Male,54.3751539485417,Affluent,Employed,55-64
19,Male,62.72471137005494,Very Affluent,Employed,55-64
20,Female,34.78535998445657,Disadvantaged,Not in Labour Force,35-44
21,Male,45.943752404208404,Affluent,Employed,45-54
22,Female,20.3357251792792,Very Disadvantaged,Employed,15-24
23,Female,34.95805258946279,Disadvantaged,Employed,35-44
24,Male,68.68269144713794,Very Affluent,Not in Labour Force,65-74
25,Male,47.69308626977673,Affluent,Not in Labour Force,45-54
26,Female,36.19795000096614,Disadvantaged,Employed,35-44
27,Male,55.38892681723742,Affluent,Employed,55-64
28,Female,32.65840565871803,Disadvantaged,Employed,25-34
29,Male,43.73774019488776,Average,Employed,35-44
30,Male,61.46485094967545,Very Affluent,Not in Labour Force,55-64
31,Female,37.89409139968339,Average,Employed,35-44
32,Male,56.2816150908191,Very Affluent,Employed,55-64
33,Female,24.292507173795308,Very Disadvantaged,Not in Labour Force,25-34
34,Male,50.42099298904475,Affluent,Employed,45-54
35,Male,50.438223351178216,Affluent,Employed,45-54
36,Female,28.114083474020518,Disadvantaged,Employed,25-34
37,Male,67.51408116360844,Very Affluent,Not in Labour Force,65-74
38,Female,38.15381933828802,Average,Employed,35-44
39,Male,65.55982384413123,Very Affluent,Not in Labour Force,65-74
40,Female,19.33958760415849,Very Disadvantaged,Employed,15-24
41,Female,26.40675434455742,Very Disadvantaged,Employed,25-34
42,Female,18.509469595706303,Very Disadvantaged,Employed,15-24
43,Male,48.87891251496868,Affluent,Employed,45-54
44,Male,44.96372517724622,Average,Unemployed,45-54
45,Male,42.16451281718491,Average,Not in Labour Force,35-44
46,Female,18.233715257044597,Very Disadvantaged,Not in Labour Force,15-24
47,Male,43.4335559600199,Average,Employed,35-44
48,Female,33.23070067298335,Disadvantaged,Employed,25-34
49,Female,40.816328888150885,Average,Employed,35-44
50,Female,22.521128829001405,Very Disadvantaged,Employed,15-24
51,Male,45.55442373133193,Affluent,Employed,45-54
52,Male,43.63928467724131,Average,Employed,35-44
53,Female,15.542698745993995,Very Disadvantaged,Unemployed,15-24
54,Male,46.0413437624433,Affluent,Not in Labour Force,45-54
55,Male,65.89274072608305,Very Affluent,Employed,65-74
56,Male,55.50619068437355,Affluent,Employed,55-64
57,Male,85.81384728490343,Very Affluent,Not in Labour Force,75+
58,Male,73.22549979296517,Very Affluent,Unemployed,65-74
59,Male,55.60076841407633,Affluent,Employed,55-64
60,Female,31.23199239410491,Disadvantaged,Employed,25-34
61,Male,46.39975038946668,Affluent,Employed,45-54
62,Female,39.72293585823217,Average,Employed,35-44
63,Female,26.978528103047324,Very Disadvantaged,Not in Labour Force,25-34
64,Female,35.548477078173256,Disadvantaged,Employed,35-44
65,Female,18.94791957326599,Very Disadvantaged,Employed,15-24
66,Female,38.5679204299221,Average,Employed,35-44
67,Male,80.04665024754658,Very Affluent,Not in Labour Force,75+
68,Female,23.203770436938097,Very Disadvantaged,Unemployed,15-24
69,Female,22.94729051262179,Very Disadvantaged,Employed,15-24
70,Male,52.32384526896166,Affluent,Employed,45-54
71,Male,44.62270450193929,Average,Employed,45-54
72,Female,39.44016894608018,Average,Employed,35-44
73,Female,22.24619518870435,Very Disadvantaged,Unemployed,15-24
74,Female,28.616405996152835,Disadvantaged,Employed,25-34
75,Male,64.50346996147752,Very Affluent,Not in Labour Force,65-74
76,Female,37.04919032536589,Average,Employed,35-44
77,Male,42.27833693106626,Average,Employed,35-44
78,Female,15.498732814635591,Very Disadvantaged,Not in Labour Force,15-24
79,Female,31.93052113345714,Disadvantaged,Employed,25-34
80,Female,37.92541313735478,Average,Not in Labour Force,35-44
81,Male,45.789246457726904,Affluent,Employed,45-54
82,Male,66.64166296910714,Very Affluent,Not in Labour Force,65-74
83,Male,46.43923995144361,Affluent,Employed,45-54
84,Male,50.51451765325763,Affluent,Employed,45-54
85,Female,24.617939005025484,Very Disadvantaged,Employed,25-34
86,Male,52.760756594872646,Affluent,Employed,45-54
87,Male,58.342502230027186,Very Affluent,Employed,55-64
88,Male,46.825875133508085,Affluent,Not in Labour Force,45-54
89,Female,37.987068787124805,Average,Employed,35-44
90,Female,24.763757110739075,Very Disadvantaged,Employed,25-34
91,Male,43.75196632024253,Average,Employed,35-44
92,Male,41.93719401338772,Average,Employed,35-44
93,Male,71.7327640586026,Very Affluent,Not in Labour Force,65-74
94,Female,39.82218390699085,Average,Employed,35-44
95,Female,40.79835223106108,Average,Employed,35-44
96,Male,42.32435595834832,Average,Employed,35-44
97,Male,57.47372869638556,Very Affluent,Employed,55-64
98,Female,19.162713078006483,Very Disadvantaged,Not in Labour Force,15-24
99,Male,48.60000557069813,Affluent,Employed,45-54
100,Male,54.02168470871726,Affluent,Employed,55-64
101,Male,50.62896177778519,Affluent,Employed,45-54
102,Male,55.92589512637167,Affluent,Not in Labour Force,55-64
103,Male,43.26657114248901,Average,Not in Labour Force,35-44
104,Male,74.86410234828074,Very Affluent,Not in Labour Force,75+
105,Female,24.474775027530278,Very Disadvantaged,Employed,25-34
106,Female,17.269673524053665,Very Disadvantaged,Not in Labour Force,15-24
107,Male,44.92956425961913,Average,Employed,45-54
108,Female,22.645419700283192,Very Disadvantaged,Employed,15-24
109,Male,71.61584767718264,Very Affluent,Not in Labour Force,65-74
110,Female,33.05443262500938,Disadvantaged,Employed,25-34
111,Female,26.875917556080253,Very Disadvantaged,Employed,25-34
112,Female,38.83661391213739,Average,Employed,35-44
113,Male,66.92383381712526,Very Affluent,Not in Labour Force,65-74
114,Male,62.382019190196324,Very Affluent,Employed,55-64
115,Female,29.724306529067924,Disadvantaged,Employed,25-34
116,Female,34.04287342834206,Disadvantaged,Employed,35-44
117,Female,26.32071978282665,Very Disadvantaged,Employed,25-34
118,Male,64.7043458548009,Very Affluent,Not in Labour Force,65-74
119,Male,50.54315033096906,Affluent,Employed,45-54
