Statistic,CensusYear,Sex,Regional Authority,UNIT,VALUE
Total Population,2016,Male,State,Number,2354428
Total Population,2016,Male,Border,Number,196647
Total Population,2016,Male,Midland,Number,146318
Total Population,2016,Male,West,Number,225087
Total Population,2016,Male,Dublin,Number,658371
Total Population,2016,Male,Mid-East,Number,341111
Total Population,2016,Male,Mid-West,Number,235793
Total Population,2016,Male,South-East,Number,209371
Total Population,2016,Male,South-West,Number,341730
Total Population,2016,Female,State,Number,2407437
Total Population,2016,Female,Border,Number,197686
Total Population,2016,Female,Midland,Number,145983
Total Population,2016,Female,West,Number,228022
Total Population,2016,Female,Dublin,Number,688988
Total Population,2016,Female,Mid-East,Number,347746
Total Population,2016,Female,Mid-West,Number,237476
Total Population,2016,Female,South-East,Number,212691
Total Population,2016,Female,South-West,Number,348845
