,Gender,Age,Socioeconomic Status
0,Female,64.00856605845816,Disadvantaged
1,Female,78.59927746163072,Average
2,Male,51.16964346307822,Average
3,Male,32.3528450852284,Very Affluent
4,Female,17.574236684819667,Affluent
5,Male,46.112910689308904,Average
6,Male,41.63732563860108,Affluent
7,Female,45.50328321228101,Average
8,Female,56.08651803599716,Very Affluent
9,Female,25.722304164886786,Average
10,Female,51.2621888877976,Very Disadvantaged
11,Male,60.344285947745696,Very Disadvantaged
12,Female,18.730640779860632,Very Affluent
13,Female,43.728037341093284,Disadvantaged
14,Female,32.27840265628348,Very Disadvantaged
15,Female,39.23820673729142,Very Affluent
16,Male,43.390771063580175,Very Affluent
17,Male,20.634339583469558,Average
18,Female,67.62723719024544,Affluent
19,Female,37.2353822024674,Very Disadvantaged
20,Female,45.32122344384994,Disadvantaged
21,Female,65.99763540549209,Very Disadvantaged
22,Male,37.72195456222765,Very Affluent
23,Female,53.784455713671214,Disadvantaged
24,Male,69.60992980936265,Affluent
25,Female,42.23026889763408,Disadvantaged
26,Female,38.421605103516924,Affluent
27,Male,25.08488397874451,Very Disadvantaged
28,Female,42.822798047990354,Very Disadvantaged
29,Female,28.403278484318495,Disadvantaged
30,Female,40.29631770843541,Very Disadvantaged
31,Female,36.94653855175177,Affluent
32,Male,41.73666825422967,Average
33,Male,46.42073388921679,Very Affluent
34,Female,30.249496242820772,Very Disadvantaged
35,Male,23.20636239229074,Average
36,Male,57.79022872069291,Disadvantaged
37,Female,50.35657485135133,Very Disadvantaged
38,Female,23.731512045836585,Average
39,Female,71.32409495389388,Average
40,Female,47.103345912155746,Disadvantaged
41,Male,41.175435293347356,Affluent
42,Female,54.210620671504756,Very Affluent
43,Male,23.84926387049542,Very Affluent
44,Female,44.97202685650252,Very Affluent
45,Female,29.05780174113145,Affluent
46,Female,28.14373485328073,Disadvantaged
47,Female,29.255983109775194,Disadvantaged
48,Male,18.77350119313352,Average
49,Female,36.28842452343451,Affluent
50,Female,30.97164866528027,Affluent
51,Male,16.521017731759194,Very Disadvantaged
52,Male,35.320450803889884,Affluent
53,Female,28.928439474928794,Affluent
54,Male,45.664506593156936,Very Disadvantaged
55,Female,26.948674501155757,Affluent
56,Female,33.531873896357105,Affluent
57,Female,66.93571204859975,Disadvantaged
58,Female,32.441979052755485,Disadvantaged
59,Female,50.53255314147686,Very Affluent
60,Male,41.06496832768727,Very Affluent
61,Male,19.2380528752809,Affluent
62,Female,57.62616206280999,Affluent
63,Female,24.340539490788387,Very Disadvantaged
64,Male,38.19818555560656,Average
65,Female,20.58004538782986,Very Affluent
66,Female,45.175686803792935,Disadvantaged
67,Male,15.563707764295263,Very Affluent
68,Female,46.751211952857695,Affluent
69,Female,41.77377356184252,Affluent
70,Male,58.26902809185219,Very Affluent
71,Male,31.34067344520906,Very Affluent
72,Female,24.595058887464106,Very Affluent
73,Female,50.08634885518363,Average
74,Male,26.40059494335837,Very Affluent
75,Male,52.67868277641357,Very Affluent
76,Male,35.40209726324626,Average
77,Female,68.60807013165069,Very Affluent
78,Female,46.8768019539575,Disadvantaged
79,Female,30.27748971000134,Average
80,Male,25.440598322357474,Very Disadvantaged
81,Female,44.560754702245475,Affluent
82,Female,15.760117714605492,Disadvantaged
83,Female,20.5193167471158,Affluent
84,Female,48.504094629443514,Average
85,Female,82.13479485812451,Very Disadvantaged
86,Male,22.883977074092186,Very Affluent
87,Male,31.71456995635949,Disadvantaged
88,Male,69.14149914802886,Disadvantaged
89,Male,27.762280457398376,Average
90,Female,53.461629322972364,Affluent
91,Male,32.21873685720885,Average
92,Female,43.30498850202428,Average
93,Female,58.13060328308988,Very Affluent
94,Female,41.2797472388917,Affluent
95,Female,54.314125064065834,Very Affluent
96,Male,54.24170225920537,Affluent
97,Female,34.99594561412443,Very Disadvantaged
98,Female,47.00508428957703,Very Disadvantaged
99,Male,45.75725274905141,Very Affluent
100,Male,54.95735266761515,Very Disadvantaged
101,Female,42.29072414076575,Affluent
102,Female,41.81460026491216,Average
103,Female,64.01919961499681,Very Disadvantaged
104,Female,41.37973917852317,Very Disadvantaged
105,Female,30.07229453432371,Disadvantaged
106,Male,23.355683596379073,Very Affluent
107,Male,58.64117805388124,Very Disadvantaged
108,Female,50.10460703745273,Very Disadvantaged
109,Male,43.16597116156499,Affluent
110,Female,74.80666531909267,Very Disadvantaged
111,Male,22.4088082821873,Very Disadvantaged
112,Male,50.78408215037448,Average
113,Male,61.09199146433214,Average
114,Female,45.76368762988125,Average
115,Female,66.69543235601842,Average
116,Male,38.23713534544007,Disadvantaged
117,Male,57.18479228209756,Disadvantaged
118,Female,52.78914965083666,Average
119,Female,55.03341554196223,Very Disadvantaged
120,Female,20.951710886051977,Disadvantaged
121,Female,20.426987112926813,Disadvantaged
122,Male,24.109046423582942,Disadvantaged
123,Female,29.75103606939025,Very Affluent
124,Female,42.711808183827046,Average
125,Male,45.37889069042647,Affluent
126,Female,32.40766074344065,Disadvantaged
127,Female,57.51129483134014,Average
128,Female,30.18803061281819,Affluent
129,Male,42.22532201055347,Average
130,Female,27.443216506837167,Affluent
131,Male,36.291979166951705,Very Affluent
132,Female,57.711441416898225,Very Disadvantaged
133,Female,25.266092693301548,Very Affluent
134,Male,41.63857672385033,Very Disadvantaged
135,Female,57.45433212751938,Disadvantaged
136,Female,59.33870539175111,Disadvantaged
137,Male,55.77535015983656,Very Disadvantaged
138,Male,46.759308601892,Very Affluent
139,Female,36.92361279275963,Average
140,Female,33.74867423554994,Disadvantaged
141,Male,22.039377307317324,Disadvantaged
142,Female,46.03996801204695,Average
143,Female,44.73445793597202,Disadvantaged
144,Female,21.03956090521948,Very Disadvantaged
145,Male,15.859924496764876,Very Affluent
146,Male,31.21143889585491,Disadvantaged
147,Female,69.81189993408552,Average
148,Female,21.64880175748204,Disadvantaged
149,Female,56.606026379540765,Average
150,Female,19.625866583000263,Affluent
151,Male,46.55279643894294,Average
152,Female,20.22013523255679,Very Affluent
153,Female,31.75624601323377,Average
154,Female,49.84756569408163,Affluent
155,Female,65.88014591552181,Very Disadvantaged
156,Female,26.31989377395736,Very Disadvantaged
157,Male,41.352497548640024,Disadvantaged
158,Female,62.73395258165517,Average
159,Male,60.89555444934611,Very Affluent
